category,split,image_path,mask_path,source_recording,source_frame_suffix,acquisition_fps_hz,transformation
cropped,train,sample_data/images_train/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_0000.png,sample_data/masks_train/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_0000.png,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,0000,,copied_unchanged_hand_curated_crop
cropped,train,sample_data/images_train/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_9215.png,sample_data/masks_train/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_9215.png,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,9215,,copied_unchanged_hand_curated_crop
cropped,train,sample_data/images_train/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_19260.png,sample_data/masks_train/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_19260.png,250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701,19260,,copied_unchanged_hand_curated_crop
cropped,train,sample_data/images_train/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_17700.png,sample_data/masks_train/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_17700.png,250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701,17700,,copied_unchanged_hand_curated_crop
cropped,train,sample_data/images_train/HQL073_250515_002_eye_36845.png,sample_data/masks_train/HQL073_250515_002_eye_36845.png,HQL073_250515_002_eye,36845,,copied_unchanged_hand_curated_crop
cropped,train,sample_data/images_train/HQL080_sleep250625_003_eye_39360.png,sample_data/masks_train/HQL080_sleep250625_003_eye_39360.png,HQL080_sleep250625_003_eye,39360,,copied_unchanged_hand_curated_crop
cropped,train,sample_data/images_train/HQL086_sleep250909_011_eye_29786.png,sample_data/masks_train/HQL086_sleep250909_011_eye_29786.png,HQL086_sleep250909_011_eye,29786,,copied_unchanged_hand_curated_crop
cropped,train,sample_data/images_train/251018_5213_Purple_awake pupil recording_2025-10-18T13-47-06.854_00127.png,sample_data/masks_train/251018_5213_Purple_awake pupil recording_2025-10-18T13-47-06.854_00127.png,251018_5213_Purple_awake pupil recording_2025-10-18T13-47-06.854,00127,,copied_unchanged_hand_curated_crop
cropped,validation,sample_data/images_validation/HQL080_sleep250625_003_eye_48292.png,sample_data/masks_validation/HQL080_sleep250625_003_eye_48292.png,HQL080_sleep250625_003_eye,48292,,copied_unchanged_hand_curated_crop
cropped,validation,sample_data/images_validation/HQL086_sleep250909_011_eye_22730.png,sample_data/masks_validation/HQL086_sleep250909_011_eye_22730.png,HQL086_sleep250909_011_eye,22730,,copied_unchanged_hand_curated_crop
cropped,validation,sample_data/images_validation/HQL090_sleep251012_010_eye_06588.png,sample_data/masks_validation/HQL090_sleep251012_010_eye_06588.png,HQL090_sleep251012_010_eye,06588,,copied_unchanged_hand_curated_crop
cropped,validation,sample_data/images_validation/HQL090_whiskerb251020_009_eye_15701.png,sample_data/masks_validation/HQL090_whiskerb251020_009_eye_15701.png,HQL090_whiskerb251020_009_eye,15701,,copied_unchanged_hand_curated_crop
raw,,sample_data/raw_frames/recording_250530/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_00000.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,00000,,copied_unchanged_uncropped_frame
raw,,sample_data/raw_frames/recording_250530/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_02500.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,02500,,copied_unchanged_uncropped_frame
raw,,sample_data/raw_frames/recording_250530/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_05000.png,,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,05000,,copied_unchanged_uncropped_frame
