category,session,fold,image_path,mask_path,source_recording,source_frame_suffix,acquisition_fps_hz,transformation
cropped,250530_5003_Green_Training_very_dm_light,cv2,sample_data/labeled_frames/250530_5003_Green_Training_very_dm_light/images/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_0000.png,sample_data/labeled_frames/250530_5003_Green_Training_very_dm_light/masks/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_0000.png,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,0000,,copied_unchanged_hand_curated_crop
cropped,250530_5003_Green_Training_very_dm_light,cv2,sample_data/labeled_frames/250530_5003_Green_Training_very_dm_light/images/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_47918.png,sample_data/labeled_frames/250530_5003_Green_Training_very_dm_light/masks/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_47918.png,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,47918,,copied_unchanged_hand_curated_crop
cropped,250530_5003_Green_Training_very_dm_light,cv2,sample_data/labeled_frames/250530_5003_Green_Training_very_dm_light/images/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_82547.png,sample_data/labeled_frames/250530_5003_Green_Training_very_dm_light/masks/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_82547.png,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,82547,,copied_unchanged_hand_curated_crop
cropped,250530_5003_Green_Training_very_dm_light,cv2,sample_data/labeled_frames/250530_5003_Green_Training_very_dm_light/images/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_85360.png,sample_data/labeled_frames/250530_5003_Green_Training_very_dm_light/masks/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_85360.png,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,85360,,copied_unchanged_hand_curated_crop
cropped,250530_5003_Green_Training_very_dm_light,cv2,sample_data/labeled_frames/250530_5003_Green_Training_very_dm_light/images/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_9215.png,sample_data/labeled_frames/250530_5003_Green_Training_very_dm_light/masks/250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042_9215.png,250530_5003_Green_Training_very_dm_light_2025-05-30T09-27-57.042,9215,,copied_unchanged_hand_curated_crop
cropped,250616_5120_Purple_sleep_trial_1,cv3,sample_data/labeled_frames/250616_5120_Purple_sleep_trial_1/images/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_0450.png,sample_data/labeled_frames/250616_5120_Purple_sleep_trial_1/masks/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_0450.png,250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701,0450,,copied_unchanged_hand_curated_crop
cropped,250616_5120_Purple_sleep_trial_1,cv3,sample_data/labeled_frames/250616_5120_Purple_sleep_trial_1/images/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_17700.png,sample_data/labeled_frames/250616_5120_Purple_sleep_trial_1/masks/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_17700.png,250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701,17700,,copied_unchanged_hand_curated_crop
cropped,250616_5120_Purple_sleep_trial_1,cv3,sample_data/labeled_frames/250616_5120_Purple_sleep_trial_1/images/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_19260.png,sample_data/labeled_frames/250616_5120_Purple_sleep_trial_1/masks/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_19260.png,250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701,19260,,copied_unchanged_hand_curated_crop
cropped,250616_5120_Purple_sleep_trial_1,cv3,sample_data/labeled_frames/250616_5120_Purple_sleep_trial_1/images/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_22230.png,sample_data/labeled_frames/250616_5120_Purple_sleep_trial_1/masks/250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701_22230.png,250616_5120_Purple_sleep_trial_1_2025-06-16T16-31-19.701,22230,,copied_unchanged_hand_curated_crop
cropped,251016_5212_purple_Day10,cv3,sample_data/labeled_frames/251016_5212_purple_Day10/images/251016_5212_purple_Day10_2025-10-16T17-14-56.825_00857.png,sample_data/labeled_frames/251016_5212_purple_Day10/masks/251016_5212_purple_Day10_2025-10-16T17-14-56.825_00857.png,251016_5212_purple_Day10_2025-10-16T17-14-56.825,00857,,copied_unchanged_hand_curated_crop
